Order Date,total_sales
10/10/2014,2049.386
10/10/2015,2248.1940000000004
10/10/2016,282.753
10/10/2017,239.358
10/11/2014,1381.164
10/11/2015,1011.8955000000001
10/11/2016,33.064
10/1/2014,4.71
10/1/2015,1158.414
10/1/2016,781.4140000000001
10/1/2017,2978.466
10/12/2014,58.53
10/12/2015,2390.7580000000003
10/12/2017,5635.354
10/13/2014,2212.182
10/13/2015,371.65999999999997
10/13/2016,1650.6180000000002
10/13/2017,8405.802
10/14/2014,4525.4839999999995
10/14/2016,3335.888
10/14/2017,134.332
10/15/2014,206.72400000000002
10/15/2015,3219.5539999999996
10/15/2016,1620.1499999999999
10/15/2017,1017.9399999999998
10/16/2014,194.322
10/16/2015,824.97
10/16/2016,142.182
10/16/2017,3473.597
10/17/2014,136.068
10/17/2015,77.88
10/17/2016,2953.346
10/17/2017,126.352
10/18/2014,3134.916
10/18/2015,378.494
10/18/2016,307.92
10/19/2014,641.104
10/19/2015,2135.0899999999997
10/19/2017,2781.8702
10/20/2014,1501.1039999999998
10/20/2015,720.086
10/20/2016,946.174
10/20/2017,1333.8580000000002
10/21/2014,1356.602
10/21/2016,7951.592000000001
10/21/2017,4537.201000000001
10/2/2014,598.1439999999999
10/2/2015,1269.266
10/2/2016,18452.971999999998
10/2/2017,5418.022000000001
10/22/2014,223.808
10/22/2015,15.128
10/22/2016,188.28
10/22/2017,15158.877000000002
10/23/2015,2262.2960000000003
10/23/2016,467.42199999999997
10/23/2017,3352.3940000000002
10/24/2014,56.49
10/24/2015,831.145
10/24/2016,1365.498
10/24/2017,529.0849999999999
10/25/2014,103.882
10/25/2015,1425.412
10/25/2016,783.96
10/26/2014,447.88
10/26/2015,1395.333
10/26/2017,999.868
10/27/2014,22.32
10/27/2016,978.79
10/27/2017,1086.3200000000002
10/28/2014,1510.582
10/28/2015,104.51
10/28/2016,2899.0209999999997
10/28/2017,408.72599999999994
10/29/2014,2813.8120000000004
10/29/2015,244.24
10/29/2016,131.154
10/29/2017,46.96
10/30/2015,2122.044
10/30/2016,159.002
10/30/2017,4025.73
10/31/2014,5362.026
10/31/2015,3211.0090000000005
10/31/2016,3750.4990000000003
10/31/2017,523.928
10/3/2014,862.6830000000001
10/3/2015,275.218
10/3/2016,1680.696
10/3/2017,2504.48
10/4/2014,728.7479999999999
10/4/2015,505.58
10/4/2016,5912.782000000001
10/4/2017,19.98
10/5/2014,191.9
10/5/2015,851.092
10/5/2017,6684.615999999999
10/6/2014,494.71
10/6/2016,830.4000000000001
10/6/2017,1499.6520000000003
10/7/2014,237.35999999999999
10/7/2016,973.712
10/7/2017,2749.2100000000005
10/8/2014,147.392
10/8/2015,222.12
10/8/2016,561.5360000000001
10/8/2017,608.356
10/9/2014,249.35999999999999
10/9/2015,2133.5350000000003
10/9/2016,546.92
10/9/2017,1496.5890000000002
1/10/2014,54.83
1/10/2015,1018.104
1/10/2016,174.75
11/10/2014,2002.556
11/10/2015,3536.904
11/10/2016,4723.478
11/10/2017,4007.5480000000002
11/11/2014,8114.548
11/11/2015,542.178
11/11/2016,4944.296
11/11/2017,1815.218
1/11/2014,9.94
11/1/2014,4732.079999999999
11/1/2015,3106.1059999999998
1/11/2016,149.444
11/1/2016,453.3739999999999
